,uic,code_postal,total_voyageurs_2016,totalvoyageurs2017,total_voyageurs_2018,total_voyageurs_2019,total_voyageurs_2020,total_voyageurs_2021
0,87313759,60220,41096,43760,40228,42685,32396,51811
1,87381657,78260,3454567,3497615,3478859,3468208,1597517,2450555
2,87781278,34300,660656,697091,588297,542288,394380,561160
3,87741421,73610,3912,3117,2535,4754,2921,3658
4,87586693,47190,90187,96909,92690,109094,89616,106764
5,87185629,70320,5942,5594,4429,7348,8639,5715
6,87722744,69340,27939,35720,37031,37840,32702,37923
7,87313072,80300,455852,471473,447970,473720,347558,421455
8,87444711,61000,393130,408691,370206,400220,232970,310971
9,87594234,19240,14697,16670,18504,23411,15856,17797
10,87592311,87240,31750,30597,25961,27893,25184,28521
11,87574343,37400,513690,560417,556255,589710,380263,528945
12,87171744,2190,12624,15485,15470,14722,13302,14165
13,87381491,78570,623470,563440,499012,445551,205140,516688
14,87543090,91670,162250,170954,175547,183224,75617,130031
15,87485102,17690,15996,16213,9187,11349,7140,10878
16,87295055,59186,20983,20943,20097,20768,14384,18522
17,87757567,83530,3867,3503,3680,6677,5313,8814
18,87757674,6600,1953102,2220716,2105087,2440877,1369074,1865911
19,87718155,39600,42298,50131,44352,52202,52302,66112
20,87683680,89270,1962,2408,2091,2752,2568,3008
21,87192401,57130,121770,113392,102738,108528,74062,91172
22,87381137,92600,15431212,15666171,16317005,16996318,8693940,15175351
23,87763250,5140,9597,11474,9306,8513,3410,2895
24,87611764,32270,7969,9714,7586,10418,7529,10844
25,87396572,72800,19307,15823,13647,13396,8620,13479
26,87345447,59265,49293,47944,44209,50636,25519,23090
27,87172122,8320,9191,9767,9357,10424,9818,9456
28,87597823,23200,7732,6342,4171,4438,516,687
29,87611749,32000,217086,239210,191987,225670,151588,194599
30,87415158,76720,186549,188636,197127,214793,159577,184178
31,87611384,31190,394346,396360,316911,343578,258534,301569
32,87276543,95430,123968,127133,124831,137596,59979,94246
33,87295725,59440,4698,5569,6868,7084,2791,2318
34,87295733,59440,160636,165722,153358,170792,111552,120372
35,87765008,84000,2341921,2575499,2158528,2301960,1279138,2067055
36,87318964,84000,3836804,3899905,3685875,4094962,2154016,3124201
37,87342584,62210,77329,83024,78849,84499,45458,47150
38,87576439,18520,26383,28903,27513,35132,28256,39421
39,87571638,37190,70146,71656,72388,84578,66667,76788
40,87764571,30200,None,None,None,None,None,None
41,87773457,34670,146538,174582,156311,188711,166854,285694
42,87286872,59780,44687,53118,54454,57067,33237,35458
43,87182840,68490,10091,9423,8034,7285,4662,5363
44,87171348,2220,10238,8864,8488,5856,4467,2487
45,87781609,34600,16859,17095,15337,13726,16035,23592
46,87473165,22810,2125,2129,1700,1711,2286,2760
47,87641068,3330,8580,6744,6547,6618,3307,5018
48,87476408,56550,1078,450,1127,1586,1375,2349
49,87281105,59380,170474,181696,178905,202757,125757,127268
50,87696336,3340,10237,11083,11071,13912,9102,13665
51,87594747,46110,7,7,20,5,10,9
52,87342402,62660,12758,13702,12855,16102,7478,10410
53,87723544,1700,185736,202058,198025,213302,137011,176189
54,87781005,34500,1374338,1441893,1214111,1129019,831286,1192730
55,87342097,62118,59082,64218,57790,61097,37582,47484
56,87673400,64200,419448,501005,496224,571419,431935,630302
57,87673699,64780,1621,1600,1739,2497,2001,3382
58,87345140,62420,203519,221829,221159,233559,138698,140881
59,87193821,57230,18895,19610,20640,26270,15583,22009
60,87141135,54360,279193,264277,246147,251380,177687,216220
61,87317248,62770,1407,535,5,8,77,882
62,87694612,71450,5586,6130,7317,13853,21322,22555
63,87574004,41000,1499456,1576606,1465901,1507917,934646,1232414
64,87172049,8120,68443,68922,64059,65702,66622,73125
65,87296269,2110,167908,171123,154861,142094,109447,120520
66,87381079,92270,5106507,5474708,5453024,5459393,1956992,4906735
67,87645184,15600,120,82,58,61,13,78
68,87682518,77310,131326,132082,129907,129195,68921,89893
69,87182709,68540,257549,260987,259569,298568,204231,232620
70,87113407,93140,13017323,13024968,12799616,12574385,7412905,10222297
71,87545731,28800,36828,37827,35211,42944,28093,41599
72,87726414,42160,55706,59067,57138,66667,36464,40429
73,87276444,60820,43084,46272,44209,41161,24170,34587
74,87276717,60540,298770,305842,278858,297438,209769,236641
75,87481200,44830,19696,25179,26796,33921,24669,35343
76,87345389,59111,33428,36656,34644,37029,25002,17881
77,87543181,75016,3615337,3484634,3290898,3130349,723394,1151507
78,87545178,91850,1442819,1470879,1463257,1476220,626559,953033
79,87281279,59630,14627,15587,14818,20921,17061,18171
80,87743005,1000,1728014,1814080,1662833,1770487,1214094,1453090
81,87741793,73700,347270,345929,344666,369133,246215,204591
82,87712265,21490,8375,8340,10112,8764,10228,12569
83,87381624,78980,375428,361155,339493,324134,127358,247376
84,87415364,27800,8257,10354,9516,13096,10420,18951
85,87734269,43100,82274,93356,77937,95704,61464,79521
