uic,total_code_postal,total_nom_gare,total_region,total_2016_01,total_2016_02,total_2016_03,total_2016_04,total_2016_05,total_2016_06,total_2016_07,total_2016_08,total_2016_09,total_2016_10,total_2016_11,total_2016_12,total_2017_01,total_2017_02,total_2017_03,total_2017_04,total_2017_05,total_2017_06,total_2017_07,total_2017_08,total_2017_09,total_2017_10,total_2017_11,total_2017_12,total_2018_01,total_2018_02,total_2018_03,total_2018_04,total_2018_05,total_2018_06,total_2018_07,total_2018_08,total_2018_09,total_2018_10,total_2018_11,total_2018_12,total_2019_01,total_2019_02,total_2019_03,total_2019_04,total_2019_05,total_2019_06,total_2019_07,total_2019_08,total_2019_09,total_2019_10,total_2019_11,total_2019_12,total_2020_01,total_2020_02,total_2020_03,total_2020_04,total_2020_05,total_2020_06,total_2020_07,total_2020_08,total_2020_09,total_2020_10,total_2020_11,total_2020_12,total_2021_01,total_2021_02,total_2021_03,total_2021_04,total_2021_05,total_2021_06,total_2021_07,total_2021_08,total_2021_09,total_2021_10,total_2021_11,total_2021_12
87111849,77111,Marne-la-Vallée Chessy,77,921050,921050,921050,921050,921050,921050,921050,921050,921050,921050,921050,921050,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1021418,1019244,917866,1018559,901514,914440,954612,1007049,983526,964479,962948,1019130,963108,845026,758431,840246,794641,841446,831762,875815,777736,805505,809850,754479,329328,247379,302894,186624,0,90938,196736,293285,296675,301308,206211,71854,223804,377108,330433,345924,374888,387200,401720,454475,459798,428602,440346,420680,467796
87113001,75010,Paris Est,75,6753217,6753217,6753217,6753217,6753217,6753217,6753217,6753217,6753217,6753217,6753217,6753217,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7250040,7409510,6672527,7404529,6553653,6647623,6939660,7320852,7149847,7011383,7000259,7408679,7001421,7114776,6385685,7074532,6690562,7084637,7003104,7374008,6548228,6782025,6818610,6352410,2772810,2375317,2908361,1791949,0,873183,1889040,2816102,2848648,2893137,1980023,689940,2148953,3505495,3071618,3215618,3484857,3599306,3734278,4224676,4274162,3984167,4093340,3910526,4348507
87118000,10014,Troyes,10,194548,194548,194548,194548,194548,194548,194548,194548,194548,194548,194548,194548,205458,205458,205458,205458,205458,205458,205458,205458,205458,205458,205458,205458,194144,174834,194014,171719,174181,181833,191821,187341,183713,183421,194122,183452,185152,166179,184105,174113,184368,182246,191899,170409,176493,177445,165313,72159,79031,96767,59622,0,29052,62852,93697,94780,96260,65879,22956,71500,114774,100569,105283,114099,117846,122265,138321,139941,130447,134021,128035,142376
87141002,54000,Nancy,54,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1599859,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1653970,1589230,1431158,1588161,1405661,1425816,1488454,1570214,1533536,1503837,1501452,1589052,1501701,1553257,1394086,1544472,1460645,1546677,1528878,1609851,1429572,1480613,1488600,1386822,605344,631463,773169,476378,0,232130,502189,748643,757295,769122,526376,183416,571285,898843,787593,824516,893551,922897,957505,1083248,1095937,1021579,1049572,1002697,1114999
87141150,54300,Lunéville,54,156233,156233,156233,156233,156233,156233,156233,156233,156233,156233,156233,156233,163516,163516,163516,163516,163516,163516,163516,163516,163516,163516,163516,163516,160001,144087,159894,141520,143549,149855,158087,154394,151404,151164,159983,151189,152727,137076,151863,143621,152080,150330,158292,140565,145584,146369,136362,59522,67729,82927,51095,0,24897,53863,80297,81225,82493,56457,19673,61274,94416,82730,86609,93860,96943,100578,113787,115119,107309,110249,105325,117122
87144006,88000,Épinal,88,202778,202778,202778,202778,202778,202778,202778,202778,202778,202778,202778,202778,207253,207253,207253,207253,207253,207253,207253,207253,207253,207253,207253,207253,190063,171158,189935,168109,170520,178011,187789,183402,179851,179565,190042,179595,191664,172023,190580,180236,190852,188655,198647,176402,182700,183685,171127,74696,88569,108445,66817,0,32559,70437,105005,106218,107877,73830,25726,80129,127540,111755,116994,126790,130954,135864,153706,155507,144956,148928,142277,158212
87144014,88100,Saint-Dié-des-Vosges,88,69140,69140,69140,69140,69140,69140,69140,69140,69140,69140,69140,69140,68114,68114,68114,68114,68114,68114,68114,68114,68114,68114,68114,68114,59602,53674,59562,52718,53474,55823,58889,57513,56400,56310,59595,56320,59893,53755,59554,56322,59639,58953,62075,55124,57092,57400,53475,23342,26041,31885,19645,0,9573,20710,30873,31230,31718,21707,7564,23559,39853,34920,36557,39618,40919,42454,48029,48591,45294,46536,44457,49436
87144451,88200,Remiremont,88,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,47000,49359,49359,49359,49359,49359,49359,49359,49359,49359,49359,49359,49359,45512,40985,45481,40255,40832,42626,44968,43917,43067,42998,45507,43005,46750,41959,46486,43963,46552,46016,48453,43027,44564,44804,41741,18220,18616,22794,14044,0,6844,14805,22071,22326,22675,15518,5407,16842,27957,24497,25645,27793,28706,29782,33693,34088,31775,32646,31188,34681
87171009,51100,Reims,51,645202,645202,645202,645202,645202,645202,645202,645202,645202,645202,645202,645202,682106,682106,682106,682106,682106,682106,682106,682106,682106,682106,682106,682106,626567,564246,626146,554194,562140,586835,619070,604609,592901,591960,626497,592058,601212,539602,597811,565365,598665,591775,623117,553337,573094,576185,536790,234308,256161,313646,193249,0,94167,203719,303696,307206,312004,213531,74405,231749,360783,316129,330949,358659,370438,384329,434801,439894,410048,421284,402469,447545
87172007,8000,Charleville-Mézières,80,210234,210234,210234,210234,210234,210234,210234,210234,210234,210234,210234,210234,210398,210398,210398,210398,210398,210398,210398,210398,210398,210398,210398,210398,189561,170706,189433,167665,170069,177540,187293,182918,179375,179091,189539,179120,178347,160071,177338,167713,177591,175547,184845,164145,170006,170923,159236,69506,88299,108114,66613,0,32459,70222,104684,105894,107548,73604,25647,79884,129376,113363,118678,128614,132838,137820,155918,157745,147042,151071,144324,160489
