uic,code_dep,region,year,type,lost_objet,code_postal,total_voyageurs_2016,totalvoyageurs2017,total_voyageurs_2018,total_voyageurs_2019,total_voyageurs_2020,total_voyageurs_2021
87111849,77,REGION DE PARIS-SUD-EST,2016,"Appareils électroniques, informatiques, appareils photo",80,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,"Articles d'enfants, de puériculture",19,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,"Articles de sport, loisirs, camping",1,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,Articles médicaux,10,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,"Bagagerie: sacs, valises, cartables",211,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,"Bijoux, montres",12,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,"Clés, porte-clés, badge magnétique",19,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,Divers,7,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,Instruments de musique,1,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,"Livres, articles de papéterie",17,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,Optique,30,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,Parapluies,4,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,Pièces d'identités et papiers personnels,77,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,"Porte-monnaie / portefeuille, argent, titres",53,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,"Vélos, trottinettes, accessoires 2 roues",2,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2016,"Vêtements, chaussures",101,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,"Appareils électroniques, informatiques, appareils photo",89,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,"Articles d'enfants, de puériculture",5,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,"Articles de sport, loisirs, camping",1,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,"Bagagerie: sacs, valises, cartables",227,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,"Bijoux, montres",7,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,"Clés, porte-clés, badge magnétique",8,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,Divers,6,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,Instruments de musique,1,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,"Livres, articles de papéterie",1,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,Optique,11,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,Parapluies,1,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,Pièces d'identités et papiers personnels,36,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,"Porte-monnaie / portefeuille, argent, titres",101,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,"Vélos, trottinettes, accessoires 2 roues",1,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2017,"Vêtements, chaussures",58,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2018,"Appareils électroniques, informatiques, appareils photo",70,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2018,"Articles d'enfants, de puériculture",1,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2018,"Articles de sport, loisirs, camping",1,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2018,Articles médicaux,2,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
87111849,77,REGION DE PARIS-SUD-EST,2018,"Bagagerie: sacs, valises, cartables",145,77111.0,5418784,6009276,5996489,5432886,2492919,3312209
